,instance_name,sample_num,xover_rate,mut_rate,pop_size,num_gen,n_kp,mean_f1,median_f1,variance_f1,sample_size,min_f1,max_f1,mean_f2,median_f2,variance_f2,min_f2,max_f2,mean_f3,median_f3,variance_f3,min_f3,max_f3,hypervolume
0,r_100_25_10,1,0.9,0.1,100,200,10,7746.440092477095,7870.0,272914.36335388536,100,6495.0,8528.509433962265,1692.02,1708.0,14701.559599999995,1408,1921,528.94,540.5,5025.536399999997,322.0,645.0,6025240202.28298
1,r_100_25_10,1,0.9,0.1,150,200,10,7618.539882994217,7616.380952380952,341691.9716508954,150,6489.0,8687.561904761904,1501.7133333333334,1505.0,12698.324488888897,1279,1731,393.9266666666667,388.5,8739.054622222222,131.0,629.0,6409820731.375721
2,r_100_25_10,1,0.9,0.1,200,200,10,8344.155062275991,8378.5,343776.53660983325,200,7063.0,9287.0,1530.555,1503.5,18314.98697499999,1296,1862,477.08631578947364,501.0,9550.86368531855,204.0,673.2631578947368,7446430933.272073
3,r_100_25_10,1,0.9,0.1,250,200,10,7963.811265764704,8070.0,384983.9107143988,250,6035.019138755981,8960.954401026871,1610.024,1605.0,24340.59942399998,1282,1930,388.83565260745445,381.0,4674.843116825385,202.0,522.0,5516747536.087362
4,r_100_25_10,1,0.8,0.2,100,200,10,7475.89017613361,7499.057416267942,829318.8353901585,100,5676.0,9009.568234746157,1536.22,1524.5,40042.91160000001,1195,1924,434.85,456.0,15551.1475,202.0,630.0,6889405346.081406
5,r_100_25_10,1,0.8,0.2,150,200,10,7566.660646509256,7560.5,345223.78549121576,150,6450.0,8758.304484589358,1586.8466666666666,1600.5,25549.023155555555,1280,1903,425.2814710485133,432.0,11271.183195673018,0.0,584.0,5979899475.190415
6,r_100_25_10,1,0.8,0.2,200,200,10,7481.794992450713,7523.738938053097,836631.3145850598,200,5151.0,8962.820083682009,1495.87,1495.5,38084.773100000006,1140,1880,401.0177599817193,416.0,19880.73422193641,0.0,635.0,7099878379.4656725
7,r_100_25_10,1,0.8,0.2,250,200,10,7532.796952417359,7587.5,660808.5974633178,250,5659.0,9057.631882922826,1535.984,1522.5,40907.26374399999,1123,2017,511.0642661370407,509.0,11321.964549582268,93.0,700.0,7893220240.0240135
8,r_100_25_10,1,0.7,0.3,100,200,10,7511.756688161199,7581.427067669172,370882.31560327887,100,5894.0,8404.346515745341,1593.08,1572.5,30503.553600000014,1316,1952,444.27464788732397,464.0,16381.197050188452,96.0,609.3521126760563,5959103454.412785
9,r_100_25_10,1,0.7,0.3,150,200,10,7646.450468239322,7720.0,690731.1832121648,150,5784.0,9010.17142857143,1516.2866666666666,1503.0,29472.37782222222,1203,1858,464.995294117647,498.0,16897.427521107264,105.0,661.6470588235294,7287242798.644864
10,r_100_25_10,1,0.7,0.3,200,200,10,7647.640420729631,7769.199330262778,593542.8107962628,200,5379.0,8959.032092078538,1561.49,1557.5,41607.49990000003,1165,2042,511.2574309675867,525.5,23293.612444017675,0.0,726.6945606694561,8035093378.037882
11,r_100_25_10,1,0.7,0.3,250,200,10,7788.56544184213,7899.807860262009,626529.9675520945,250,6118.0,9088.981307591048,1437.844,1435.5,26033.75566399997,1117,1762,449.616,469.0,11975.164543999983,98.0,634.0,7637593917.066613
12,r_100_25_10,1,0.6,0.4,100,200,10,6928.453920182032,6968.899505528,630435.4554219383,100,5076.0,8291.79510579311,1503.98,1482.5,41378.6396,1162,1903,281.2866094703844,300.0,11109.61183497162,57.0,444.0,4490145152.305541
13,r_100_25_10,1,0.6,0.4,150,200,10,8178.204365572908,8261.0,595802.6484274451,150,6514.0,9440.0,1559.5666666666666,1537.5,34887.178888888906,1262,1956,541.9045734602811,556.0,13837.463476384659,232.0,716.646288209607,8199961154.754984
14,r_100_25_10,1,0.6,0.4,200,200,10,7261.690313449877,7542.60044049367,1451846.2985597053,200,4665.0,9245.854460093897,1581.745,1598.5,45384.919974999975,1112,1998,423.3943880013791,454.0,26593.064166213037,62.0,661.7345132743362,6931935773.937878
15,r_100_25_10,1,0.6,0.4,250,200,10,7728.978962032153,7740.5,755413.0370298957,250,5835.0,9333.241626794257,1395.952,1378.0,30651.957696,1085,1780,533.772,524.0,18872.600015999986,0.0,766.0,9485359800.087027
16,r_100_25_10,1,0.5,0.5,100,200,10,7202.105722175619,7327.0,927065.6353241311,100,4744.0,8614.380952380952,1541.56,1554.0,31917.30639999999,1238,1848,436.61473338430756,475.0,18803.19926540505,131.0,629.0,6483716483.4042
17,r_100_25_10,1,0.5,0.5,150,200,10,7314.254798851202,7454.5,697502.7400147539,150,5467.0,8717.63133640553,1510.6333333333334,1498.5,48621.04555555554,1155,1901,441.87904761904764,437.5,18521.76972426302,96.0,659.0,7123932616.985871
18,r_100_25_10,1,0.5,0.5,200,200,10,6660.9442288118935,6719.5,1375206.4968116472,200,4441.0,8768.080209685595,1477.245,1452.5,43652.424975000016,1153,1955,343.2622247740764,304.0,26089.9699389346,7.0,659.3207547169811,6635538135.483026
19,r_100_25_10,1,0.5,0.5,250,200,10,6741.033149219727,6897.5,1252527.4294859394,250,4274.0,8542.712094325487,1402.748,1389.5,64720.45249599997,941,1943,356.39542857142857,358.0,22981.44996277553,0.0,622.0,7017846030.274514
20,r_100_25_10,1,0.4,0.6,100,200,10,5851.091688967405,6154.0,1092795.712538502,100,3598.0,7302.320754716981,1426.1,1456.0,59356.79,976,1834,343.17706382978724,376.0,19982.94573902942,42.0,600.0,5494791372.946027
21,r_100_25_10,1,0.4,0.6,150,200,10,7059.5137049757095,7172.604761904762,572915.7436772167,150,5170.0,8303.99820247448,1515.3666666666666,1521.5,49864.93888888889,1147,1964,404.02026956889944,407.0,16975.183686838333,0.0,626.7733333333333,6500518393.0441
22,r_100_25_10,1,0.4,0.6,200,200,10,7453.891425810895,7520.382608695652,722383.895843615,200,5065.0,8744.254908579465,1487.68,1470.5,47149.757600000004,1067,2006,471.20761904761906,477.0,11634.556002418745,110.0,656.0,7495989829.787308
23,r_100_25_10,1,0.4,0.6,250,200,10,6258.512656834808,6411.5,1735023.9695677722,250,3367.0,8621.962441314554,1351.74,1314.5,92150.39240000003,838,1988,319.0820099846835,319.0,29747.694579765284,0.0,610.0,6944928932.004889
24,r_100_25_10,1,0.30000000000000004,0.7,100,200,10,6427.918307711711,6537.772152446172,905991.3037856525,100,4526.0,8143.1302507238715,1568.72,1593.0,53413.46160000001,1157,2057,426.8040689708617,441.0,13662.81295739107,88.0,602.0,5728868740.872115
25,r_100_25_10,1,0.30000000000000004,0.7,150,200,10,6302.402613796238,6463.0,1448482.7627623896,150,3853.0,8160.188724401178,1418.8933333333334,1389.0,59025.055288888834,1002,1906,329.11081481481483,317.5,18301.19019579698,0.0,553.0,5841793300.749564
26,r_100_25_10,1,0.30000000000000004,0.7,200,200,10,6569.1836046004855,6762.5,1349449.5361099637,200,4223.0,8815.0,1452.735,1434.0,55487.49477500003,1055,1900,335.07,327.0,20190.115100000003,0.0,600.0,6398906147.614234
27,r_100_25_10,1,0.30000000000000004,0.7,250,200,10,6645.987692239557,6684.5,951785.036643442,250,4447.0,8533.0,1400.704,1391.0,36786.456384000005,1010,1816,394.196,393.0,16455.709584,0.0,690.0,7411739288.7505455
28,r_100_25_10,1,0.19999999999999996,0.8,100,200,10,5798.003524814238,5946.590419464952,974861.0351745725,100,3781.0,7581.610383693972,1794.51,1819.5,86987.60990000002,1318,2342,269.2935915795812,268.0,18544.82502057002,0.0,502.0,3466446305.4060593
29,r_100_25_10,1,0.19999999999999996,0.8,150,200,10,6798.155493879704,6831.8528138528145,689567.1361701923,150,4893.0,8462.098415311793,1487.6,1464.0,36644.85333333332,1139,1907,415.2989900081962,434.5,19781.640805300172,0.0,637.9330143540669,6578329577.096111
30,r_100_25_10,1,0.19999999999999996,0.8,200,200,10,6102.0509988023205,6184.271428571428,847518.1596684149,200,4116.0,7531.271867425157,1532.025,1509.5,95448.26437500004,1053,2138,400.7635153474142,406.0,18337.748579240008,64.0,643.0,5763439446.334374
31,r_100_25_10,1,0.19999999999999996,0.8,250,200,10,5794.448282235188,5929.9,1885750.0286135527,250,2956.0,8206.808721849815,1366.708,1316.5,70278.790736,921,2037,298.82423904101125,290.0,20685.59436150833,0.0,588.0,6001905136.433168
32,r_100_25_10,1,0.09999999999999998,0.9,100,200,10,5411.171447123097,5459.018518518518,910187.5739192377,100,3558.0,7238.273775208521,1655.78,1624.0,97005.63160000001,1191,2302,284.2423444595232,265.5,22120.531312730393,0.0,570.0,3821281324.3345575
33,r_100_25_10,1,0.09999999999999998,0.9,150,200,10,5645.959959443163,5767.268292682927,932495.4501991629,150,3597.0,7311.384600342062,1628.4533333333334,1602.5,66986.7544888889,1218,2243,313.60393083273937,300.0,17031.602063706665,19.0,554.091286307054,4190608301.9127445
34,r_100_25_10,1,0.09999999999999998,0.9,200,200,10,5785.269907502702,5837.0,1307994.6500370495,200,3762.0,7859.218149486946,1459.005,1402.5,75689.75497500002,1028,2085,305.249511627907,311.0,20749.493802682,0.0,586.0,5376456581.16192
35,r_100_25_10,1,0.09999999999999998,0.9,250,200,10,5665.554236819312,5967.0,1456374.0868633643,250,3264.0,7634.25925925926,1486.572,1475.0,88445.28481600001,954,2093,280.0380221337699,243.5,26765.252987433378,0.0,560.0,5125274556.045359
36,r_100_50_4,1,0.9,0.1,100,200,10,10869.441975964572,11077.778801843318,2163973.046867601,100,7793.0,12951.554172135311,1684.54,1690.0,40381.528399999996,1288,2074,614.6744036697247,623.0,33847.40293829641,212.0,926.0,13547857295.050194
37,r_100_50_4,1,0.9,0.1,150,200,10,10408.269834244411,10500.962790697675,3031835.322103456,150,6673.0,13254.16091954023,1571.0,1566.0,61836.28,1126,2058,732.9066666666666,690.0,46076.511288888934,237.0,1149.0,18010791480.352364
38,r_100_50_4,1,0.9,0.1,200,200,10,11544.685659515311,11699.975536091815,823230.5204466907,200,9373.0,13201.745800865801,1765.255,1741.0,22857.909974999995,1470,2089,761.4575663035106,779.0,26536.886881837807,355.0,1062.0,14858398801.70966
39,r_100_50_4,1,0.9,0.1,250,200,10,12027.42071973958,12252.960490265266,1302143.4083637076,250,8301.0,13729.597981351946,1757.476,1774.0,37462.385424,1334,2160,796.3536931856044,802.0,27668.620884295964,250.0,1106.0,17001743845.3844
40,r_100_50_4,1,0.8,0.2,100,200,10,9891.600090905455,10111.750992063491,1831266.818999768,100,7148.0,12287.499320816758,1673.78,1653.0,75141.87160000001,1233,2122,573.442194067075,597.5,46495.45363703426,118.0,951.4586776859504,12537604748.468378
41,r_100_50_4,1,0.8,0.2,150,200,10,11593.893361740053,11629.749741899846,1544637.0283460976,150,8853.0,13915.260107053195,1746.18,1729.0,42663.93426666667,1362,2339,542.024081969153,528.0,52708.60488102481,0.0,950.0,13642550500.556944
42,r_100_50_4,1,0.8,0.2,200,200,10,11151.911070512597,11303.0,1974849.554744829,200,8055.0,13507.461668057782,1608.235,1592.5,45321.869775,1229,2041,770.73,798.0,28526.237100000013,255.0,1087.0,17611509712.65071
43,r_100_50_4,1,0.8,0.2,250,200,10,11867.388103412864,11983.5,1708886.4391788773,250,9154.0,14050.370252296723,1634.22,1613.5,37991.891599999995,1301,2019,763.192,770.0,43303.95513599994,224.0,1107.0,18169879354.983665
44,r_100_50_4,1,0.7,0.3,100,200,10,10958.055508101348,10871.927906976744,1310696.6307335307,100,8837.0,13311.664327409455,1754.66,1738.0,44154.864400000006,1370,2111,577.0710755840463,608.0,29289.386275460525,210.0,847.1590909090909,11868752537.011515
45,r_100_50_4,1,0.7,0.3,150,200,10,10677.04580591767,10916.055555555555,2123621.460710397,150,7568.0,12915.7610530728,1600.0,1596.0,42914.76,1238,1976,679.3732417153981,676.5,31269.581704578555,268.0,991.0,15546717980.297134
46,r_100_50_4,1,0.7,0.3,200,200,10,11315.493132228317,11369.5,1694012.7294739399,200,8751.0,13623.815748297882,1626.62,1620.5,42276.605600000024,1311,2082,682.2483104247158,702.5,56308.873664688384,0.0,1090.0,17117914182.528559
47,r_100_50_4,1,0.7,0.3,250,200,10,10207.021645196302,10374.371848739496,2194722.7105196123,250,6629.0,12578.46437015504,1691.868,1698.5,75945.146576,1161,2182,712.0239811913065,735.0,40326.4568005412,190.0,1007.8055555555557,14763363873.8553
48,r_100_50_4,1,0.6,0.4,100,200,10,9161.643568677324,9306.623272766925,2406656.6118682977,100,6038.0,11436.885263199993,1605.46,1586.5,102767.08839999996,1127,2250,558.8482761689169,542.0,56030.580383030705,51.0,997.0212765957447,12699678310.987381
49,r_100_50_4,1,0.6,0.4,150,200,10,9879.499514306905,9993.376623376624,3193530.4571310924,150,6327.0,12835.440334707471,1540.5533333333333,1506.5,83700.19382222224,1084,2149,509.9847401924111,480.5,55626.619862783344,87.0,934.0,14135717410.23613
50,r_100_50_4,1,0.6,0.4,200,200,10,9957.290057267855,10283.5,4254078.012784652,200,5699.0,13307.570419183146,1543.935,1525.0,94749.87077500002,996,2124,500.2011636781873,475.5,66650.14020808923,0.0,995.0,15450650552.025757
51,r_100_50_4,1,0.6,0.4,250,200,10,11182.327011997919,11258.858029067706,2134812.788249007,250,7802.0,13468.045845624385,1647.06,1628.0,54071.15239999999,1223,2201,654.2340582036255,632.5,57245.18977102527,103.0,1115.0,17128746523.014978
52,r_100_50_4,1,0.5,0.5,100,200,10,10361.589112462923,10527.8312313309,1675258.209105254,100,7521.558951965066,12633.39160265673,1822.59,1791.0,96265.00189999999,1347,2407,517.6075474362528,516.0,50515.323712568934,79.0,920.9878542510122,11239880620.943148
53,r_100_50_4,1,0.5,0.5,150,200,10,9324.184796511005,9509.493273542601,2877080.8495815406,150,5785.0,11879.535174825174,1686.7533333333333,1647.5,122251.17248888894,1167,2395,524.7175358569081,506.0,61271.49585251686,76.0,972.962962962963,11903698009.677664
54,r_100_50_4,1,0.5,0.5,200,200,10,8965.059045770367,9087.5,3722725.7093195952,200,5150.0,12514.113022184123,1584.295,1587.0,92062.61797500004,1099,2304,488.4221129994343,448.0,76633.95333362209,0.0,966.9823008849557,13152144852.86417
55,r_100_50_4,1,0.5,0.5,250,200,10,9597.60560890171,9700.769811320755,3075226.875047293,250,5696.0,12367.705078536983,1594.428,1576.0,126226.46081600002,997,2396,581.0995841790672,585.0,59278.90588553205,0.0,985.0,14218953835.673038
56,r_100_50_4,1,0.4,0.6,100,200,10,9259.664631700065,9395.641095665089,1952281.4941279034,100,6381.0,11568.230272495033,1741.92,1697.0,92913.5336,1224,2356,498.136004961905,480.0,51241.08470764484,22.0,889.0848214285713,10319213859.195396
57,r_100_50_4,1,0.4,0.6,150,200,10,9816.214169586641,9981.071428571428,2599569.656474054,150,6351.0,12606.531146630401,1691.3933333333334,1679.0,91453.25195555556,1174,2285,509.6223284806621,515.5,54502.492631754576,35.0,931.9770114942529,12671588431.432161
58,r_100_50_4,1,0.4,0.6,200,200,10,9207.494267400256,9446.185212282846,3180660.5202861475,200,5460.0,12045.095835044795,1580.135,1571.0,104032.85677499996,1036,2238,489.3918242131686,476.5,70151.34970216721,0.0,986.2826086956521,13330923556.008432
59,r_100_50_4,1,0.4,0.6,250,200,10,9832.66220237302,9984.767506459948,4313567.078820287,250,5929.0,13104.353722859156,1689.184,1644.5,124050.27814400007,1131,2358,622.5963862365719,624.0,83864.70248825263,0.0,1132.7281105990783,15118827188.171116
