,instance_name,sample_num,xover_rate,mut_rate,pop_size,num_gen,n_kp,mean_f1,median_f1,variance_f1,sample_size,min_f1,max_f1,mean_f2,median_f2,variance_f2,min_f2,max_f2,mean_f3,median_f3,variance_f3,min_f3,max_f3,hypervolume
0,r_100_25_10,1,0.9,0.1,100,200,3,10393.82397340926,10232.0,4751564.222934178,100,6347.0,13862.0,1365.85,1310.0,67788.98749999999,945,1862,3185.893973409261,3117.0,582094.1523728739,1528.0,4382.656467315716,79999372713.8477
1,r_100_25_10,1,0.9,0.1,150,200,3,10249.684981273407,10220.0,5119802.069783577,150,5873.0,13974.186797752809,1342.8066666666666,1293.0,88287.36928888892,918,1984,3112.44,3143.5,733898.9930666663,1499.0,4462.0,82245783866.44102
2,r_100_25_10,1,0.9,0.1,200,200,3,9648.83383403947,9705.0,4505386.085222964,200,4978.0,13123.0,1339.045,1290.0,92355.40297500002,804,1978,2155.685,2200.0,1293004.4057750008,8.0,4302.0,72148956119.89873
3,r_100_25_10,1,0.9,0.1,250,200,3,11154.682513820695,11237.5,6386801.738338576,250,6615.0,15412.178062678064,1370.792,1368.0,114335.22073599999,824,2018,2937.7809444444447,3041.5,1160837.983292827,814.0,4736.618055555556,93991978877.29584
4,r_100_25_10,1,0.8,0.2,100,200,3,10488.88,10624.5,6542579.445600002,100,5590.0,14325.0,1346.96,1300.5,131496.03840000002,794,2046,3224.0,3376.5,857304.82,1212.0,4641.0,88494057840.0
5,r_100_25_10,1,0.8,0.2,150,200,3,10901.88,11052.0,6312433.958933335,150,6003.0,14803.0,1423.5866666666666,1420.5,112241.06915555564,843,2020,3407.3333333333335,3537.0,797345.5022222223,1658.0,4804.0,89691815492.0
6,r_100_25_10,1,0.8,0.2,200,200,3,10099.39375392039,10108.5,7292514.260313442,200,4427.0,14359.0,1322.155,1306.0,127211.250975,733,2028,2875.249365404423,2935.0,1169745.162137297,849.0,4637.0,86843305028.15233
7,r_100_25_10,1,0.8,0.2,250,200,3,9217.04,9105.0,7172188.2383999955,250,4188.0,13783.0,1201.8,1174.5,118285.63199999993,623,2002,2480.056,2574.0,1581274.196864,468.0,4410.0,83722551865.0
8,r_100_25_10,1,0.7,0.3,100,200,3,9947.28039974961,9989.0,7080569.019184392,100,5263.0,13980.0,1385.53,1343.5,124596.98910000004,841,2010,2964.5832808022924,2989.0,977176.8134959757,815.0,4557.3280802292265,79180791640.06892
9,r_100_25_10,1,0.7,0.3,150,200,3,10275.433037672865,10234.0,6013926.956981832,150,6021.0,14587.47782546495,1345.26,1308.0,113321.81906666659,815,2003,3114.3597043395325,3085.0,752817.0597800501,1161.0,4678.0,87247401964.09256
10,r_100_25_10,1,0.7,0.3,200,200,3,10200.735,10395.0,7834939.634775007,200,4855.0,14604.0,1272.59,1265.0,135707.84190000003,689,1919,3022.075,3089.0,1100234.989375,831.0,4699.0,93130647954.0
11,r_100_25_10,1,0.7,0.3,250,200,3,9801.972,9745.5,6913324.443215998,250,5061.0,14477.0,1216.248,1189.0,118309.35449599996,664,1876,2950.668,3025.5,990638.0137759998,1159.0,4603.0,92175340925.0
12,r_100_25_10,1,0.6,0.4,100,200,3,8872.488772919605,9150.5,10368742.956796909,100,2941.0,13865.0,1214.98,1191.5,157738.8396,607,1968,2629.6787729196053,2663.5,1277770.3566134141,399.0,4407.0,81777583193.7271
13,r_100_25_10,1,0.6,0.4,150,200,3,10059.780336319423,10373.5,8094920.936407065,150,5166.0,14264.0,1287.08,1270.0,170681.5002666667,665,2030,3080.5066666666667,3229.5,1050118.649955556,1019.0,4677.0,90129838569.57915
14,r_100_25_10,1,0.6,0.4,200,200,3,11019.457285100287,11210.5,8254215.570158168,200,5723.0,15450.0,1329.995,1318.5,129626.92497499994,728,2029,3456.18,3464.0,951492.7375999998,1682.0,5109.0,104048783357.8281
15,r_100_25_10,1,0.6,0.4,250,200,3,9319.16,9242.5,8062179.430399999,250,3901.0,13960.0,1239.704,1215.0,144526.544384,595,1950,2781.952,2756.0,1044852.3976959998,951.0,4563.0,85291885586.0
16,r_100_25_10,1,0.5,0.5,100,200,3,9855.502900515598,9781.5,8992422.506590426,100,4376.0,14481.0,1337.44,1320.5,145608.1264,736,2040,2494.3129005155974,2427.0,1497227.931721198,458.0,4578.0,81995031582.18527
17,r_100_25_10,1,0.5,0.5,150,200,3,9360.965379310344,9646.5,10921354.863737121,150,3486.0,14539.0,1213.8733333333332,1196.5,178151.96395555566,552,2017,2790.4,2892.5,1331567.9733333327,825.0,4651.0,90609955955.30345
18,r_100_25_10,1,0.5,0.5,200,200,3,10220.574672364672,10491.5,10576661.579246076,200,4302.0,15170.0,1288.67,1288.0,161189.85110000006,640,2022,2975.13,3042.5,1713299.503100001,298.0,4942.0,97731406928.18518
19,r_100_25_10,1,0.5,0.5,250,200,3,9795.656969478348,9933.0,10367762.287568565,250,3809.0,14710.376068376068,1223.196,1223.0,190625.26958400008,483,2063,2886.836,2866.0,1145373.4971039996,1079.0,4794.0,95836463737.89021
20,r_100_25_10,1,0.4,0.6,100,200,3,9351.653936636008,9923.0,9356904.05167892,100,4514.0,13966.849563763122,1308.53,1298.5,193049.46910000005,640,2072,2646.43014084507,2814.0,1458602.1385019643,245.0,4540.014084507043,79348623321.3628
21,r_100_25_10,1,0.4,0.6,150,200,3,9146.547749086527,9367.5,11202537.961210208,150,3083.0,14276.39877934537,1231.6066666666666,1149.0,200489.6919555555,577,2121,2646.1756758025863,2673.5,1276752.2771732148,566.0,4461.0,85198410400.54509
22,r_100_25_10,1,0.4,0.6,200,200,3,9398.334679184469,9819.5,9624212.57896089,200,3250.0,14009.0,1303.785,1263.0,192082.18877500013,561,2091,2507.465,2460.0,1364675.9787750002,398.0,4488.0,81305651419.18123
23,r_100_25_10,1,0.4,0.6,250,200,3,9376.26620855346,9612.0,11351133.579170512,250,3190.0,14661.442901636128,1228.068,1198.0,216182.58337599997,503,2119,2602.035952401502,2637.0,1615927.0472696135,340.0,4624.040114613181,90115561982.16287
24,r_100_25_10,1,0.30000000000000004,0.7,100,200,3,8546.981332448548,8593.5,9045687.086029608,100,3497.0,13464.06647807638,1315.4,1278.5,177180.78,646,2104,2457.6173919479097,2450.5,957911.2206017693,738.0,4213.0,68929130585.63109
25,r_100_25_10,1,0.30000000000000004,0.7,150,200,3,8848.904264936304,8852.0,11161590.143890554,150,2787.0,14284.0,1190.3266666666666,1147.5,176153.7666222222,515,2020,2698.5468839839227,2669.5,1346059.7211394487,605.0,4502.607142857143,86305273313.48431
26,r_100_25_10,1,0.30000000000000004,0.7,200,200,3,9022.056291228226,9299.0,12746530.97943527,200,2109.0,14654.0,1190.295,1162.0,201345.43797499995,441,2008,2672.3354814165873,2684.0,1510314.8998444339,179.0,4671.0465116279065,90561369019.71138
27,r_100_25_10,1,0.30000000000000004,0.7,250,200,3,9257.73101730002,9406.0,12663203.45416882,250,3007.0,14982.0,1171.916,1138.5,200389.71694400016,489,2038,2838.1324864091557,2860.0,1350431.336709648,557.0,4714.0,95928730208.81134
28,r_100_25_10,1,0.19999999999999996,0.8,100,200,3,8663.184327305735,8922.5,11802823.694170205,100,2661.0,13985.0,1277.54,1258.0,188246.26839999997,574,2100,2641.1207123472855,2706.0,1283629.0271715138,474.0,4402.0,77022013314.88478
29,r_100_25_10,1,0.19999999999999996,0.8,150,200,3,8945.104456111736,9301.5,11763348.470232183,150,3212.0,14418.0,1329.1533333333334,1285.0,199047.14315555565,631,2125,2685.6565760678363,2736.0,1310606.198659601,433.0,4600.191218130311,79026384162.69016
30,r_100_25_10,1,0.19999999999999996,0.8,200,200,3,8928.6216793657,8798.5,8624678.339255068,200,3843.0,14070.42816091954,1236.225,1220.0,149903.24437500018,576,1938,2575.045,2509.5,1132371.072975,610.0,4440.0,81516489296.58533
31,r_100_25_10,1,0.19999999999999996,0.8,250,200,3,9994.379461904497,10051.5,8381743.980840354,250,4482.0,14761.0,1355.216,1329.0,148418.30534400005,673,2108,2485.9689038121687,2499.0,1528210.2330542712,168.0,4567.711015736767,85194677877.03722
32,r_100_25_10,1,0.09999999999999998,0.9,100,200,3,7710.684844775176,7675.0,11155956.152515693,100,1775.0,13082.87761354932,1261.11,1226.5,200720.65789999996,559,2059,2294.9371919770774,2211.0,1340156.1819439381,209.0,4258.0,66403334541.00542
33,r_100_25_10,1,0.09999999999999998,0.9,150,200,3,8507.815358503123,8780.5,12131001.890801173,150,1789.0,13864.0,1249.6266666666668,1194.5,211602.68728888885,486,2100,2625.2183154767063,2636.0,1268105.5367046804,490.0,4410.427170868347,77713284421.37401
34,r_100_25_10,1,0.09999999999999998,0.9,200,200,3,8205.265628398258,8174.0,12248584.988468468,200,2073.0,13923.48024471661,1229.965,1217.0,245568.79377499982,381,2109,2483.655386819484,2517.0,1340268.9799888106,81.0,4508.538681948424,76507644106.86429
35,r_100_25_10,1,0.09999999999999998,0.9,250,200,3,8658.436211852335,8979.0,13049246.115695927,250,1596.0,14139.425501432665,1220.188,1239.0,208020.44865600002,438,2061,2601.917452574526,2696.0,1471865.5397188354,63.0,4584.363143631436,83584766303.19833
36,r_100_50_3,1,0.9,0.1,100,200,3,18238.87,17961.5,21658422.613100003,100,9379.0,25429.0,1218.1,1179.5,101425.64999999995,690,1789,4888.09,4840.0,4224009.281900001,1124.0,8359.0,244137232942.0
37,r_100_50_3,1,0.9,0.1,150,200,3,21021.278944376183,21043.5,14060623.432666708,150,14165.0,27198.0,1296.0333333333333,1288.0,70851.20555555557,878,1825,5489.113333333334,5381.5,3354533.2338222233,2143.0,8696.0,266598832917.94128
38,r_100_50_3,1,0.9,0.1,200,200,3,21398.613681803385,21068.5,15277793.064131878,200,14373.0,28104.0,1262.32,1219.0,74608.95760000004,825,1763,5358.310860719874,5301.0,5897327.090888836,509.0,9115.08607198748,296030746993.7633
39,r_100_50_3,1,0.9,0.1,250,200,3,21074.65811825374,21048.5,14195604.955277858,250,13907.0,27358.0,1285.76,1258.5,88685.22239999996,824,1857,5272.413831004954,5106.5,4190449.791830864,1222.0,8636.0,271840664790.72824
40,r_100_50_3,1,0.8,0.2,100,200,3,18869.486890460747,18787.5,20008345.78629549,100,10686.0,25939.0,1197.45,1151.0,103627.8875,706,1803,4614.8052549467275,4491.0,5207807.998618948,517.0,8465.291666666666,254907973096.36353
41,r_100_50_3,1,0.8,0.2,150,200,3,20101.13859482303,19807.5,20678594.709254358,150,11219.0,27871.0,1206.6333333333334,1186.0,101978.79222222217,681,1814,5002.746666666667,5029.0,4575138.709155555,1130.0,8910.0,285530169642.8764
42,r_100_50_3,1,0.8,0.2,200,200,3,18759.858171159405,19341.5,38303449.43282471,200,6972.0,28246.0,1153.725,1153.0,157700.9393750002,481,1849,4454.644317829458,3988.5,6503636.453994094,190.0,9057.0,294337081664.16064
43,r_100_50_3,1,0.8,0.2,250,200,3,19878.826757959832,19851.0,24232223.976158105,250,10439.0,28360.789473684214,1206.588,1179.0,120019.10625600006,681,1878,4980.14625459013,4967.5,4174977.986133948,1313.0,8790.0,288478755097.87195
44,r_100_50_3,1,0.7,0.3,100,200,3,19319.599903570837,19685.5,20591621.455476794,100,10426.0,26306.58188976378,1239.08,1236.0,120346.11359999995,678,1883,4907.101229275689,4902.0,3743987.737632754,1026.0,8336.0,254362588408.47375
45,r_100_50_3,1,0.7,0.3,150,200,3,18460.01561387959,18220.5,24603745.1953105,150,9451.0,27024.0,1150.38,1133.0,110620.96893333326,585,1798,4657.973333333333,4767.5,6246476.799288891,174.0,8756.0,279789427252.63165
46,r_100_50_3,1,0.7,0.3,200,200,3,18930.69298885453,19189.5,28312163.208767585,200,8904.0,27773.93206951027,1143.375,1129.0,125532.554375,589,1838,4979.44,4995.0,5858111.656399998,386.0,9057.0,298232526779.4621
47,r_100_50_3,1,0.7,0.3,250,200,3,17923.969977794808,17782.5,37190240.45384062,250,6402.0,27881.371653543305,1082.708,1040.5,152734.110736,453,1818,4448.894183942728,4353.5,5322956.725489805,586.0,8633.0,293537254131.86163
48,r_100_50_3,1,0.6,0.4,100,200,3,17871.854788732395,17795.0,24297834.252119407,100,8011.0,25751.0,1167.49,1119.0,119029.4099,602,1864,4709.45,4657.0,4112776.5875000013,1194.0,8167.0,251267222826.6479
49,r_100_50_3,1,0.6,0.4,150,200,3,18835.59113325983,19025.5,28025915.949828748,150,9538.0,26906.0,1153.4733333333334,1119.0,123415.3026222223,627,1825,4845.467897122377,4793.0,5766240.132341182,564.0,8770.844410876132,281785547381.6389
50,r_100_50_3,1,0.6,0.4,200,200,3,17867.019167767,17900.0,36435282.657104634,200,7000.0,27711.0,1049.69,1029.0,133260.79390000002,434,1792,4826.254030171356,4997.5,6442090.692806824,472.0,8814.0,307236140339.9767
51,r_100_50_3,1,0.6,0.4,250,200,3,17379.750452025637,17413.0,39121121.25900419,250,5439.0,27826.666666666664,1073.896,1032.0,164849.78118400008,405,1891,3941.5139811912227,3760.0,6084541.645597023,20.0,8474.0,282347015821.0658
52,r_100_50_3,1,0.5,0.5,100,200,3,17983.936410901555,17557.0,35783604.74207268,100,7856.0,28280.0,1119.49,1041.0,149212.06989999997,554,1894,5199.130824088748,5166.5,4790536.863061645,776.0,8816.0,290578298999.2032
53,r_100_50_3,1,0.5,0.5,150,200,3,16891.706327433512,16867.0,34745782.24042121,150,6222.0,27273.245283018867,1086.76,1074.0,150727.68906666667,447,1813,4244.89698289269,4118.0,6089962.936600504,104.0,8691.547433903577,270561721571.13986
