,instance_name,sample_num,xover_rate,mut_rate,pop_size,num_gen,n_kp,mean_f1,median_f1,variance_f1,sample_size,min_f1,max_f1,mean_f2,median_f2,variance_f2,min_f2,max_f2,mean_f3,median_f3,variance_f3,min_f3,max_f3,hypervolume
0,r_100_25_2,1,0.9,0.1,100,200,3,11253.48962,11395,7032246.816,100,6293,15431.608,1441.85,1399,152931.6475,797,2145,3485.1,3579.5,857887.77,1774,4824,1.05778E+11
1,r_100_25_2,1,0.9,0.1,150,200,3,10919.67537,11088.5,8871767.006,150,5293,15883.50464,1384.68,1377.5,171663.4043,758,2175,3298.22,3353,1327391.932,1029,5174,1.12423E+11
2,r_100_25_2,1,0.9,0.1,200,200,3,11226.35701,11189,7191177.342,200,5655,15272.4027,1374.2,1331,131067.79,816,2043,3346.8,3393,936965.25,1360,4973,1.10562E+11
3,r_100_25_2,1,0.9,0.1,250,200,3,12538.07052,12535.5,5365194.239,250,8069,16374.37166,1542.036,1518.5,117990.9947,965,2159,3937.63395,4029.5,552489.2009,2241,5169,1.15816E+11
4,r_100_25_2,1,0.8,0.2,100,200,3,11574.66513,11576,5866954.524,100,7526,15475,1498.32,1479,104847.1176,1006,2051,3595.435134,3647,744507.1836,1868,4980.513369,1.0382E+11
5,r_100_25_2,1,0.8,0.2,150,200,3,11745.47661,11852.5,4998782.811,150,7588,15177.24538,1512.84,1481,98511.84107,995,2090,3411.933333,3458,783892.3022,1910,4925,1.01991E+11
6,r_100_25_2,1,0.8,0.2,200,200,3,11433.38956,11380.5,9585004.433,200,6160,16513.58566,1421.265,1389.5,159549.6248,790,2180,3325.25,3283.5,1630653.078,1125,5398,1.18956E+11
7,r_100_25_2,1,0.8,0.2,250,200,3,11655.96938,11858,8975610.071,250,4897,16243,1429.052,1421,144025.2653,769,2135,3317.052,3260,1072545.625,969,5270,1.18794E+11
8,r_100_25_2,1,0.7,0.3,100,200,3,11237.68222,11298.5,5754500.655,100,6988,14970.49797,1479.74,1427,142845.2724,903,2229,3469.376919,3520,649261.6995,1821,4867.848,1.008E+11
9,r_100_25_2,1,0.7,0.3,150,200,3,11761.39003,11905,8789284.867,150,6628,16472.17347,1447.3,1435.5,159036.3167,813,2188,3659.957252,3638,1062087.061,1638,5336.537838,1.19894E+11
10,r_100_25_2,1,0.7,0.3,200,200,3,11440.635,11525,8996996.502,200,5771,16843,1385.795,1368,159826.513,701,2147,3518.995,3572.5,1144455.365,1579,5225,1.22959E+11
11,r_100_25_2,1,0.7,0.3,250,200,3,11974.78278,12013.5,9927937.665,250,6107,17177.64032,1410.036,1399.5,161059.8667,741,2164,3662.904,3778,1378174.087,1402,5571,1.32024E+11
12,r_100_25_2,1,0.6,0.4,100,200,3,10887.57108,10931,9847867.878,100,5512,16086.50408,1409.8,1371.5,174604.06,790,2245,3218.015556,3160,1359115.96,921,5213.394495,1.10712E+11
13,r_100_25_2,1,0.6,0.4,150,200,3,10313.61973,10459.5,10534136.14,150,4768,15831.97976,1277.173333,1257.5,173224.8766,629,2103,3165.046667,3177.5,1368727.404,827,5169,1.16318E+11
14,r_100_25_2,1,0.6,0.4,200,200,3,11012.21951,11203,9528205.269,200,4638,16208.71044,1403.04,1374,196679.2684,657,2262,3388.040363,3355,1070376.604,1347,5174,1.14346E+11
15,r_100_25_2,1,0.6,0.4,250,200,3,11019.78093,11022.5,9397180.168,250,5000,16249,1380.296,1353.5,185371.5124,659,2152,3052.600001,3044,1652262.99,728,5250.175066,1.16673E+11
16,r_100_25_2,1,0.5,0.5,100,200,3,10491.29388,10744,6184822.749,100,5463,14453,1403.14,1391,145541.8004,757,2057,3199.92,3245.5,681771.6136,1431,4535,94656068320
17,r_100_25_2,1,0.5,0.5,150,200,3,10312.20016,10587,11398472.35,150,4271,15807.66171,1320.226667,1269.5,235516.162,566,2192,3170.142372,3325.5,1242067.18,1035,4875,1.09777E+11
18,r_100_25_2,1,0.5,0.5,200,200,3,10497.71192,10382.5,10794721.18,200,4683,16219,1299.79,1258.5,184598.1859,630,2177,2993.74,3010,1713915.792,448,5342,1.19416E+11
